python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset my_data --num_hops 1 --epochs 100 --model GCN --batch_size 32 --hidden_channels 256 --dropout 0.4
Epoch: 01, Train Loss: 0.3036, Valid Loss: 0.2975, Train AUC: 0.9463, Valid AUC: 0.9480, AUPR: 0.9470, F1 score: 0.8820, Accuracy: 0.8811, Recall: 0.8883, Specificity: 0.8740, Precision: 0.8757, MCC: 0.7623
Epoch: 02, Train Loss: 0.2881, Valid Loss: 0.2982, Train AUC: 0.9499, Valid AUC: 0.9490, AUPR: 0.9485, F1 score: 0.8814, Accuracy: 0.8792, Recall: 0.8975, Specificity: 0.8610, Precision: 0.8659, MCC: 0.7590
Epoch: 03, Train Loss: 0.2869, Valid Loss: 0.2909, Train AUC: 0.9500, Valid AUC: 0.9496, AUPR: 0.9497, F1 score: 0.8825, Accuracy: 0.8808, Recall: 0.8945, Specificity: 0.8672, Precision: 0.8707, MCC: 0.7620
Epoch: 04, Train Loss: 0.2865, Valid Loss: 0.2885, Train AUC: 0.9501, Valid AUC: 0.9497, AUPR: 0.9502, F1 score: 0.8820, Accuracy: 0.8788, Recall: 0.9061, Specificity: 0.8515, Precision: 0.8592, MCC: 0.7588
Epoch: 05, Train Loss: 0.2866, Valid Loss: 0.2905, Train AUC: 0.9499, Valid AUC: 0.9492, AUPR: 0.9492, F1 score: 0.8816, Accuracy: 0.8811, Recall: 0.8853, Specificity: 0.8769, Precision: 0.8780, MCC: 0.7623
Epoch: 06, Train Loss: 0.2878, Valid Loss: 0.2917, Train AUC: 0.9497, Valid AUC: 0.9493, AUPR: 0.9501, F1 score: 0.8824, Accuracy: 0.8813, Recall: 0.8910, Specificity: 0.8715, Precision: 0.8740, MCC: 0.7627
Epoch: 07, Train Loss: 0.2905, Valid Loss: 0.2932, Train AUC: 0.9485, Valid AUC: 0.9487, AUPR: 0.9491, F1 score: 0.8790, Accuracy: 0.8783, Recall: 0.8840, Specificity: 0.8726, Precision: 0.8740, MCC: 0.7566
Epoch: 08, Train Loss: 0.2909, Valid Loss: 0.2887, Train AUC: 0.9484, Valid AUC: 0.9495, AUPR: 0.9502, F1 score: 0.8814, Accuracy: 0.8790, Recall: 0.8996, Specificity: 0.8583, Precision: 0.8639, MCC: 0.7586
Epoch: 09, Train Loss: 0.2910, Valid Loss: 0.2917, Train AUC: 0.9484, Valid AUC: 0.9488, AUPR: 0.9491, F1 score: 0.8818, Accuracy: 0.8798, Recall: 0.8972, Specificity: 0.8623, Precision: 0.8670, MCC: 0.7600
Epoch: 10, Train Loss: 0.2902, Valid Loss: 0.2899, Train AUC: 0.9487, Valid AUC: 0.9494, AUPR: 0.9497, F1 score: 0.8801, Accuracy: 0.8790, Recall: 0.8883, Specificity: 0.8696, Precision: 0.8720, MCC: 0.7580
Epoch: 11, Train Loss: 0.2903, Valid Loss: 0.2906, Train AUC: 0.9486, Valid AUC: 0.9495, AUPR: 0.9501, F1 score: 0.8819, Accuracy: 0.8804, Recall: 0.8932, Specificity: 0.8677, Precision: 0.8710, MCC: 0.7611
Epoch: 12, Train Loss: 0.2897, Valid Loss: 0.2893, Train AUC: 0.9488, Valid AUC: 0.9498, AUPR: 0.9502, F1 score: 0.8816, Accuracy: 0.8799, Recall: 0.8942, Specificity: 0.8656, Precision: 0.8693, MCC: 0.7601
Epoch: 13, Train Loss: 0.2906, Valid Loss: 0.2883, Train AUC: 0.9485, Valid AUC: 0.9496, AUPR: 0.9502, F1 score: 0.8823, Accuracy: 0.8810, Recall: 0.8921, Specificity: 0.8699, Precision: 0.8727, MCC: 0.7622
Epoch: 14, Train Loss: 0.2906, Valid Loss: 0.2950, Train AUC: 0.9484, Valid AUC: 0.9490, AUPR: 0.9496, F1 score: 0.8804, Accuracy: 0.8784, Recall: 0.8948, Specificity: 0.8621, Precision: 0.8664, MCC: 0.7572
Epoch: 15, Train Loss: 0.2909, Valid Loss: 0.2958, Train AUC: 0.9484, Valid AUC: 0.9484, AUPR: 0.9487, F1 score: 0.8799, Accuracy: 0.8769, Recall: 0.9013, Specificity: 0.8526, Precision: 0.8594, MCC: 0.7547
Epoch: 16, Train Loss: 0.2895, Valid Loss: 0.2878, Train AUC: 0.9490, Valid AUC: 0.9498, AUPR: 0.9500, F1 score: 0.8814, Accuracy: 0.8802, Recall: 0.8905, Specificity: 0.8699, Precision: 0.8725, MCC: 0.7605
Epoch: 17, Train Loss: 0.2854, Valid Loss: 0.2893, Train AUC: 0.9503, Valid AUC: 0.9495, AUPR: 0.9497, F1 score: 0.8815, Accuracy: 0.8795, Recall: 0.8961, Specificity: 0.8629, Precision: 0.8673, MCC: 0.7594
Epoch: 18, Train Loss: 0.2887, Valid Loss: 0.2904, Train AUC: 0.9491, Valid AUC: 0.9491, AUPR: 0.9494, F1 score: 0.8810, Accuracy: 0.8775, Recall: 0.9072, Specificity: 0.8477, Precision: 0.8563, MCC: 0.7563
Epoch: 19, Train Loss: 0.2863, Valid Loss: 0.2919, Train AUC: 0.9500, Valid AUC: 0.9495, AUPR: 0.9503, F1 score: 0.8826, Accuracy: 0.8814, Recall: 0.8915, Specificity: 0.8712, Precision: 0.8738, MCC: 0.7629
Epoch: 20, Train Loss: 0.2855, Valid Loss: 0.2877, Train AUC: 0.9503, Valid AUC: 0.9497, AUPR: 0.9499, F1 score: 0.8824, Accuracy: 0.8804, Recall: 0.8975, Specificity: 0.8634, Precision: 0.8679, MCC: 0.7613
Epoch: 21, Train Loss: 0.2892, Valid Loss: 0.2909, Train AUC: 0.9491, Valid AUC: 0.9487, AUPR: 0.9490, F1 score: 0.8808, Accuracy: 0.8802, Recall: 0.8859, Specificity: 0.8745, Precision: 0.8759, MCC: 0.7604
Epoch: 22, Train Loss: 0.2892, Valid Loss: 0.2946, Train AUC: 0.9490, Valid AUC: 0.9494, AUPR: 0.9497, F1 score: 0.8818, Accuracy: 0.8804, Recall: 0.8923, Specificity: 0.8685, Precision: 0.8716, MCC: 0.7611
Epoch: 23, Train Loss: 0.2871, Valid Loss: 0.2905, Train AUC: 0.9498, Valid AUC: 0.9497, AUPR: 0.9503, F1 score: 0.8826, Accuracy: 0.8817, Recall: 0.8894, Specificity: 0.8740, Precision: 0.8759, MCC: 0.7634
Epoch: 24, Train Loss: 0.2867, Valid Loss: 0.2907, Train AUC: 0.9498, Valid AUC: 0.9496, AUPR: 0.9498, F1 score: 0.8822, Accuracy: 0.8811, Recall: 0.8902, Specificity: 0.8721, Precision: 0.8743, MCC: 0.7624
Epoch: 25, Train Loss: 0.2848, Valid Loss: 0.2889, Train AUC: 0.9505, Valid AUC: 0.9496, AUPR: 0.9499, F1 score: 0.8823, Accuracy: 0.8802, Recall: 0.8980, Specificity: 0.8623, Precision: 0.8671, MCC: 0.7608
Epoch: 26, Train Loss: 0.2852, Valid Loss: 0.2924, Train AUC: 0.9504, Valid AUC: 0.9493, AUPR: 0.9500, F1 score: 0.8825, Accuracy: 0.8803, Recall: 0.8986, Specificity: 0.8621, Precision: 0.8669, MCC: 0.7611
Epoch: 27, Train Loss: 0.2850, Valid Loss: 0.2932, Train AUC: 0.9504, Valid AUC: 0.9494, AUPR: 0.9500, F1 score: 0.8831, Accuracy: 0.8814, Recall: 0.8959, Specificity: 0.8669, Precision: 0.8707, MCC: 0.7631
Epoch: 28, Train Loss: 0.2849, Valid Loss: 0.2878, Train AUC: 0.9505, Valid AUC: 0.9497, AUPR: 0.9500, F1 score: 0.8825, Accuracy: 0.8817, Recall: 0.8891, Specificity: 0.8742, Precision: 0.8761, MCC: 0.7634
Epoch: 29, Train Loss: 0.2848, Valid Loss: 0.2941, Train AUC: 0.9504, Valid AUC: 0.9496, AUPR: 0.9501, F1 score: 0.8812, Accuracy: 0.8804, Recall: 0.8872, Specificity: 0.8737, Precision: 0.8754, MCC: 0.7610
Epoch: 30, Train Loss: 0.2854, Valid Loss: 0.2927, Train AUC: 0.9503, Valid AUC: 0.9494, AUPR: 0.9494, F1 score: 0.8823, Accuracy: 0.8804, Recall: 0.8964, Specificity: 0.8645, Precision: 0.8687, MCC: 0.7613
Epoch: 31, Train Loss: 0.2860, Valid Loss: 0.2886, Train AUC: 0.9501, Valid AUC: 0.9494, AUPR: 0.9497, F1 score: 0.8825, Accuracy: 0.8806, Recall: 0.8969, Specificity: 0.8642, Precision: 0.8685, MCC: 0.7616
Epoch: 32, Train Loss: 0.2842, Valid Loss: 0.2887, Train AUC: 0.9507, Valid AUC: 0.9497, AUPR: 0.9501, F1 score: 0.8822, Accuracy: 0.8807, Recall: 0.8932, Specificity: 0.8683, Precision: 0.8715, MCC: 0.7617
Epoch: 33, Train Loss: 0.2842, Valid Loss: 0.2874, Train AUC: 0.9508, Valid AUC: 0.9498, AUPR: 0.9503, F1 score: 0.8822, Accuracy: 0.8818, Recall: 0.8856, Specificity: 0.8780, Precision: 0.8789, MCC: 0.7636
Epoch: 34, Train Loss: 0.2839, Valid Loss: 0.2886, Train AUC: 0.9508, Valid AUC: 0.9495, AUPR: 0.9498, F1 score: 0.8826, Accuracy: 0.8810, Recall: 0.8951, Specificity: 0.8669, Precision: 0.8706, MCC: 0.7623
Epoch: 35, Train Loss: 0.2843, Valid Loss: 0.2914, Train AUC: 0.9506, Valid AUC: 0.9489, AUPR: 0.9492, F1 score: 0.8813, Accuracy: 0.8788, Recall: 0.8994, Specificity: 0.8583, Precision: 0.8639, MCC: 0.7583
Epoch: 36, Train Loss: 0.2853, Valid Loss: 0.2907, Train AUC: 0.9503, Valid AUC: 0.9489, AUPR: 0.9495, F1 score: 0.8813, Accuracy: 0.8810, Recall: 0.8834, Specificity: 0.8786, Precision: 0.8791, MCC: 0.7620
Epoch: 37, Train Loss: 0.2853, Valid Loss: 0.2903, Train AUC: 0.9503, Valid AUC: 0.9498, AUPR: 0.9501, F1 score: 0.8820, Accuracy: 0.8806, Recall: 0.8926, Specificity: 0.8685, Precision: 0.8716, MCC: 0.7614
Epoch: 38, Train Loss: 0.2839, Valid Loss: 0.2876, Train AUC: 0.9508, Valid AUC: 0.9499, AUPR: 0.9505, F1 score: 0.8826, Accuracy: 0.8822, Recall: 0.8859, Specificity: 0.8786, Precision: 0.8794, MCC: 0.7644
Epoch: 39, Train Loss: 0.2832, Valid Loss: 0.2877, Train AUC: 0.9510, Valid AUC: 0.9500, AUPR: 0.9505, F1 score: 0.8828, Accuracy: 0.8819, Recall: 0.8896, Specificity: 0.8742, Precision: 0.8761, MCC: 0.7640
Epoch: 40, Train Loss: 0.2843, Valid Loss: 0.2873, Train AUC: 0.9507, Valid AUC: 0.9498, AUPR: 0.9502, F1 score: 0.8815, Accuracy: 0.8800, Recall: 0.8926, Specificity: 0.8675, Precision: 0.8707, MCC: 0.7603
Epoch: 41, Train Loss: 0.2831, Valid Loss: 0.2906, Train AUC: 0.9510, Valid AUC: 0.9492, AUPR: 0.9496, F1 score: 0.8813, Accuracy: 0.8804, Recall: 0.8880, Specificity: 0.8729, Precision: 0.8748, MCC: 0.7610
Epoch: 42, Train Loss: 0.2842, Valid Loss: 0.3008, Train AUC: 0.9508, Valid AUC: 0.9497, AUPR: 0.9502, F1 score: 0.8823, Accuracy: 0.8811, Recall: 0.8915, Specificity: 0.8707, Precision: 0.8733, MCC: 0.7624
Epoch: 43, Train Loss: 0.2844, Valid Loss: 0.2902, Train AUC: 0.9506, Valid AUC: 0.9495, AUPR: 0.9499, F1 score: 0.8820, Accuracy: 0.8808, Recall: 0.8910, Specificity: 0.8707, Precision: 0.8733, MCC: 0.7619
Epoch: 44, Train Loss: 0.2829, Valid Loss: 0.2883, Train AUC: 0.9512, Valid AUC: 0.9497, AUPR: 0.9503, F1 score: 0.8829, Accuracy: 0.8808, Recall: 0.8983, Specificity: 0.8634, Precision: 0.8680, MCC: 0.7622
Epoch: 45, Train Loss: 0.2845, Valid Loss: 0.2892, Train AUC: 0.9506, Valid AUC: 0.9497, AUPR: 0.9501, F1 score: 0.8818, Accuracy: 0.8799, Recall: 0.8956, Specificity: 0.8642, Precision: 0.8683, MCC: 0.7602
Epoch: 46, Train Loss: 0.2829, Valid Loss: 0.2883, Train AUC: 0.9511, Valid AUC: 0.9496, AUPR: 0.9502, F1 score: 0.8828, Accuracy: 0.8807, Recall: 0.8986, Specificity: 0.8629, Precision: 0.8676, MCC: 0.7619
Epoch: 47, Train Loss: 0.2823, Valid Loss: 0.2953, Train AUC: 0.9514, Valid AUC: 0.9495, AUPR: 0.9500, F1 score: 0.8824, Accuracy: 0.8815, Recall: 0.8894, Specificity: 0.8737, Precision: 0.8756, MCC: 0.7631
