0,6793
1,6794
2,6795
2,6796
2,6797
2,6798
3,6799
3,6800
4,6801
5,6802
6,6803
6,6804
7,6805
8,6806
9,6807
9,6808
10,6809
11,6810
11,6811
12,6812
12,6813
12,6814
12,6815
12,6816
12,6817
12,6818
12,6819
12,6820
12,6821
12,6822
13,6823
13,6824
13,6825
14,6826
14,6805
15,6827
15,6817
16,6828
17,6829
18,6830
18,6831
19,6817
20,6805
21,6809
22,6817
23,6832
24,6833
24,6834
24,6835
24,6820
24,6836
24,6822
25,6817
25,6837
26,6838
27,6839
28,6838
29,6831
30,6831
31,6840
32,6841
32,6842
32,6843
33,6844
33,6845
33,6846
33,6847
33,6848
34,6849
35,6809
36,6850
36,6851
36,6852
36,6853
37,6854
37,6855
38,6856
38,6857
39,6835
39,6858
40,6859
41,6860
41,6861
42,6839
42,6862
42,6863
42,6864
43,6865
44,6866
45,6852
45,6836
46,6867
47,6841
47,6868
47,6869
48,6868
49,6830
49,6870
50,6871
50,6872
51,6827
51,6809
52,6827
52,6871
53,6854
53,6873
53,6806
53,6874
53,6875
53,6876
53,6877
53,6878
53,6832
54,6805
55,6805
55,6849
56,6879
57,6856
58,6880
59,6881
59,6882
59,6883
60,6871
60,6872
61,6884
62,6885
62,6886
63,6887
64,6888
64,6889
64,6890
65,6891
66,6892
67,6893
68,6817
69,6894
70,6895
70,6896
70,6839
70,6897
70,6898
70,6899
70,6900
70,6901
70,6811
71,6835
72,6881
72,6806
72,6828
72,6809
73,6845
74,6902
74,6903
74,6904
74,6841
74,6905
74,6866
74,6852
74,6842
75,6906
75,6839
75,6850
75,6815
75,6907
75,6908
76,6909
76,6850
76,6853
77,6805
78,6815
79,6910
79,6864
80,6806
81,6811
82,6845
82,6847
82,6911
83,6912
84,6839
84,6913
84,6914
84,6915
85,6916
86,6917
86,6852
87,6794
88,6918
89,6919
90,6856
90,6920
91,6811
92,6912
93,6838
93,6921
94,6817
95,6847
96,6922
97,6912
98,6923
98,6917
98,6924
98,6925
98,6864
99,6923
99,6925
100,6926
101,6927
102,6901
102,6928
103,6929
104,6831
104,6815
104,6847
104,6930
104,6931
104,6932
104,6933
104,6820
104,6888
104,6934
105,6935
105,6925
105,6936
106,6841
107,6937
108,6938
108,6832
109,6939
109,6940
109,6847
109,6941
110,6942
110,6839
110,6943
110,6852
110,6888
110,6944
110,6891
111,6805
112,6830
112,6945
112,6831
112,6846
112,6911
113,6845
113,6868
114,6817
114,6946
115,6864
116,6817
116,6832
117,6947
118,6948
118,6949
119,6950
119,6857
119,6951
119,6952
119,6953
119,6954
119,6835
119,6955
119,6956
119,6957
119,6958
119,6959
119,6960
119,6961
119,6962
119,6963
119,6964
119,6965
119,6966
120,6967
120,6856
120,6968
120,6817
120,6907
120,6969
121,6847
121,6933
121,6970
122,6847
123,6814
124,6847
125,6883
126,6872
127,6909
128,6891
129,6795
129,6822
130,6839
130,6875
130,6971
130,6972
130,6859
130,6822
131,6854
131,6806
131,6809
131,6973
132,6910
133,6974
133,6823
133,6871
134,6856
135,6801
136,6975
137,6976
138,6838
139,6838
140,6805
141,6902
141,6839
141,6977
141,6978
141,6866
141,6852
141,6979
141,6805
141,6980
142,6838
143,6838
143,6832
144,6838
144,6817
144,6921
145,6949
146,6854
147,6852
148,6806
149,6981
150,6891
151,6845
151,6847
152,6910
152,6948
153,6876
153,6818
153,6819
153,6821
154,6982
154,6983
154,6984
154,6985
154,6986
154,6842
155,6805
156,6987
156,6934
157,6835
158,6806
158,6809
158,6805
158,6988
159,6989
160,6801
161,6919
162,6806
162,6990
163,6991
163,6992
163,6993
163,6905
164,6947
165,6994
166,6995
167,6996
168,6997
168,6998
169,6839
170,6999
170,6806
170,6885
170,6901
171,6917
